Food Item,Calories,Protein,Carbs,Fat
81.0,106,18.43,0.21,3.59
98.0,95,19.6,1.54,1.16
8.0,21,0.82,4.12,0.0
3.0,608,24.47,17.0,54.17
100.0,468,2.5,70.97,19.33
3.0,45,2.88,3.29,2.06
5.0,482,8.78,62.68,23.98
15.0,278,0.0,69.52,0.1
14.0,291,11.47,31.79,13.07
14.0,295,12.29,26.26,15.66
7.0,375,13.81,71.0,5.4
65.0,884,0.0,0.0,100.0
8.0,49,0.41,11.38,0.0
14.0,287,11.08,29.56,13.85
15.0,180,16.9,0.0,12.54
84.0,218,17.99,0.44,16.0
45.0,546,4.88,61.17,31.28
12.0,280,11.73,29.93,12.56
7.0,385,13.9,63.2,11.9
14.0,276,10.85,32.85,11.25
9.0,189,26.85,0.0,9.08
7.0,150,18.73,0.0,8.34
96.0,121,21.1,0.21,4.0
70.0,598,7.79,45.9,42.63
60.0,579,6.12,52.42,38.31
3.7,64,3.28,4.65,3.66
1.0,72,12.39,2.72,1.02
2.0,81,10.45,4.76,2.27
11.0,163,16.6,3.83,8.6
80.0,231,0.0,0.0,0.0
4.0,358,6.69,79.09,4.0
8.0,21,0.82,4.12,0.0
90.0,263,0.0,0.0,0.0
2006.0,253,19.61,18.52,11.2
2.0,265,0.0,69.6,0.1
3.0,436,2.6,77.77,12.75
2.0,112,4.13,17.61,2.83
3.0,487,22.9,46.5,25.3
3.0,538,6.41,63.15,28.85
14.0,260,11.53,32.74,9.25
4.0,487,3.8,68.3,25.4
98.0,136,3.89,30.18,2.17
2006.0,271,19.2,19.31,13.01
15.0,270,0.01,45.8,4.9
1.0,268,13.69,17.73,15.8
8.0,37,1.22,7.76,0.0
14.0,309,16.23,22.85,16.99
90.0,176,20.0,0.0,10.0
85.0,215,18.59,0.0,15.0
70.0,332,14.35,0.0,30.0
75.0,293,15.76,0.0,25.0
80.0,254,17.17,0.0,20.0
8.0,20,0.41,4.53,0.0
8.0,45,0.0,10.98,0.0
8.0,49,0.41,11.38,0.0
98.0,137,3.3,30.51,2.2
95.0,137,21.41,0.0,5.0
14.0,274,12.23,30.0,11.63
93.0,152,20.85,0.0,7.0
97.0,121,21.98,0.0,3.0
70.0,884,0.0,0.0,100.0
94.0,402,10.72,76.04,6.1
99.0,4,0.54,0.14,0.17
2.0,396,10.6,73.4,11.6
60.0,884,0.0,0.0,100.0
12.0,298,11.97,30.49,14.21
12.0,280,12.86,31.55,11.38
14.0,323,13.95,28.7,16.9
100.0,204,14.63,0.0,15.69
100.0,257,0.01,43.2,3.08
86.0,250,0.0,0.1,0.0
3.25,61,3.15,4.8,3.25
7.0,337,11.0,81.4,1.5
8.0,33,0.0,7.82,0.0
1.0,359,11.77,72.63,1.47
12.0,303,15.29,28.64,14.1
14.0,291,12.23,32.11,12.63
14.0,328,13.88,25.35,19.05
14.0,306,13.37,34.22,12.8
8.0,49,0.41,11.79,0.0
7.0,336,13.0,78.6,2.3
2.0,77,3.06,12.34,1.77
